LEAGUE,NAME,SEASON,UNIQUE ID,POS,AGE,#,TEAM,GP,EV P1/GP,PP P1/GP,P1/GP,EV G,EV A1,EV A2,EV P1,PP G,PP A1,PP A2,PP P1,SH G,SH A1,SH A2,SHOTS,SH%,TG,TP,TP/GP,EV%,Goals/P1,MISSING GF%,EV GF,EV GA,EV GF%,EV GF%Rel,OFF EV GF,OFF EV GA,eTOI/GP,P1/e60,DOB,BIRTH YEAR,HT,SHOOTS,Breakout Season,TSA,ShotAttempts/P1/e60
NCAAD1,Hannah Bilka,2020,500715/hannah-bilka,F,19,19,BC,34,0.5882,0.1765,1.0882,8,12,7,20,5,1,2,6,1,1,0,131,10.69,14,37,1.0882,76.92,50,0,34,28,54.84,5.49,38,39,21.65,2.2819,3/24/2001,2001,5'05,L,FALSE,194,85.0168719
NCAAD1,Emma Nuutinen,2019,192153/emma-nuutinen,F,23,20,MRC,30,0.4,0.3,0.9333,9,3,4,12,5,4,0,9,2,1,0,107,14.95,16,28,0.9333,57.14,66.67,0,20,22,47.62,4.56,31,41,20.54,2.3366,12/7/1996,1996,5'09,L,TRUE,191,81.74270307
NCAAD1,Dominique Petrie,2020,290132/dominique-petrie,F,19,14,HAR,28,0.6429,0.25,1.25,8,10,6,18,3,4,2,7,1,0,1,145,8.28,12,35,1.25,72,44,0,32,18,64,17.42,34,39,21.73,2.564,1/21/2001,2001,5'07,R,TRUE,191,74.49297972
NCAAD1,Abby Roque,2020,368894/abby-roque,F,23,18,WIS,36,0.8611,0.3611,1.6111,16,15,7,31,9,4,5,13,1,1,0,131,19.85,26,58,1.6111,70.45,56.82,0,60,25,70.59,-0.84,60,24,23.02,3.3306,9/25/1997,1997,5'07,R,TRUE,191,57.34702456
NCAAD1,Mikyla Grant-Mentis,2019,390574/mikyla-grant-mentis,F,21,13,MER,35,0.6,0.0857,0.9714,10,11,3,21,0,3,3,3,2,2,0,121,9.92,12,34,0.9714,87.5,41.67,0,35,23,60.34,16.41,29,37,21.69,2.213,7/15/1998,1998,5'06,L,FALSE,191,86.30817894
NCAAD1,Hannah Potrykus,2019,400185/hannah-potrykus,F,22,23,STC,37,0.3514,0.1081,0.5946,9,4,3,13,3,1,1,4,0,1,0,132,9.09,12,22,0.5946,76.47,70.59,0,23,31,42.59,10.68,30,64,20.22,1.4436,,1997,5'06,R,TRUE,191,132.3081186
NCAAD1,Emily Clark,2019,368503/emily-clark,F,24,26,WIS,34,0.4412,0.1471,0.8235,10,5,7,15,4,1,1,5,0,0,0,117,11.97,14,28,0.8235,75,70,0,31,7,81.58,-0.34,77,17,17.12,2.0618,11/28/1995,1995,5'07,L,FALSE,190,92.15248812
NCAAD1,Becca Gilmore,2020,368900/becca-gilmore,F,22,15,HAR,33,0.5152,0.0909,0.7273,6,11,2,17,3,0,1,3,1,0,0,125,8,10,24,0.7273,85,45,0,22,26,45.83,-10.35,50,39,19.58,1.9505,2/15/1998,1998,5'06,R,TRUE,190,97.41092028
NCAAD1,Justine Reyes,2019,399772/justine-reyes,F,22,11,STL,36,0.3611,0.1667,0.7222,8,5,5,13,2,4,2,6,0,0,0,112,8.93,10,26,0.7222,68.42,52.63,0,21,31,40.38,-4.82,33,40,21.09,1.5015,2/14/1997,1997,5'08,R,FALSE,189,125.8741259
NCAAD1,Sophie Shirley,2019,404430/sophie-shirley,F,20,9,WIS,41,0.7073,0.0976,0.9268,18,11,4,29,2,2,1,4,0,0,0,118,16.95,20,38,0.9268,87.88,60.61,0,46,9,83.64,4.47,76,20,17.67,2.7331,6/30/1999,1999,5'09,R,FALSE,189,69.1522447
NCAAD1,Morgan Wabick,2019,553170/morgan-wabick,F,20,27,CON,35,0.3429,0.2286,0.6857,6,6,3,12,6,2,1,8,0,0,0,109,11.01,12,24,0.6857,60,60,0,25,30,45.45,2.77,35,47,20.59,1.6652,2/14/1999,1999,5'03,L,FALSE,189,113.4998799
NCAAD1,Katelynn Russ,2019,367224/katelynn-russ,F,21,23,UNI,33,0.2121,0,0.3333,5,2,0,7,0,0,4,0,0,0,0,121,4.13,5,11,0.3333,100,71.43,0,11,39,22,-0.22,18,63,20.53,0.62,,1998,5'04,R,FALSE,188,303.2258065
NCAAD1,Madison Field,2019,368757/madison-field,F,22,12,OSU,34,0.5294,0.0294,0.6471,13,5,2,18,0,1,1,1,0,0,0,116,11.21,13,22,0.6471,94.74,68.42,0,25,32,43.86,-17.25,44,28,19.12,1.7532,4/8/1997,1997,5'08,R,FALSE,188,107.2324892
